title,url,description,content
FBI chia sẻ bí kíp đối phó lừa đảo AI,https://vnexpress.net/fbi-chia-se-bi-kip-doi-pho-lua-dao-ai-4824083.html,FBI cảnh báo tội phạm mạng đang ứng dụng AI vào các chiêu lừa đảo trực tuyến theo chiều hướng ngày càng tinh vi và khó phát hiện.,"Theo Cục Điều tra Liên bang Mỹ (FBI), AI đang có những bước tiến lớn, trong đó công cụ tạo hình ảnh, video thật đến mức khó phân biệt. Chúng đang bị kẻ lừa đảo lợi dụng ""để cải thiện chất lượng và hiệu quả"" trong các phi vụ lừa đảo từ tình cảm, đầu tư đến tuyển dụng việc làm. ""Tội phạm đang lợi dụng AI tạo sinh để tăng độ tin cậy và quy mô của chiêu trò"", thông báo Dịch vụ công cộng (PSA) do FBI ban hành tuần qua có đoạn. ""AI tạo sinh đang giúp kẻ gian giảm thời gian và công sức phải bỏ ra để lừa dối mục tiêu"". Thông báo PSA liệt kê các mánh khóe phổ biến và cách nhận diện, phòng ngừa. Minh họa về lừa đảo mạng bằng AI. Ảnh: AARP Chiêu trò phổ biến Văn bản, hình ảnh và video do AI tạo ra có thể bị kẻ xấu sử dụng để tạo hồ sơ mạng xã hội ""một cách chân thực"", sau đó dùng chúng để gửi qua email, tin nhắn và lừa đảo tình cảm. Nội dung AI cũng bị lạm dụng trong quảng cáo, bằng cách đăng lên các website để thu hút nạn nhân đầu tư, như tiền số. Thậm chí, chúng được kẻ xấu sử dụng để giả mạo cơ quan thực thi pháp luật, CEO hoặc nhân vật uy tín, với mục đích thuyết phục người dùng chuyển tiền hoặc cung cấp thông tin. Với công cụ AI ngày càng hiện đại, kẻ xấu có thể tạo ảnh hoặc video khiêu dâm giả nhằm tống tiền nạn nhân. Chúng còn tạo hình ảnh thiên tai hoặc xung đột để kêu gọi quyên góp cho các tổ chức từ thiện mạo danh. Lời khuyên của FBI Dù công cụ AI tạo sinh có thể khiến người dùng khó phân biệt chiêu trò lừa đảo, FBI cho rằng vẫn có biện pháp giúp phát hiện vấn đề trong hầu hết tình huống. Cụ thể, đơn vị này khuyên người dùng nên tạo một từ hoặc cụm từ bí mật với gia đình nhằm mục đích xác minh danh tính trong trường hợp nghi ngờ. Nên hạn chế đăng ảnh, video và giọng nói của mình lên mạng xã hội, đặt tài khoản ở chế độ bạn bè và hạn chế người theo dõi. Các nội dung do AI tạo ra vẫn có một số nhược điểm, như bàn tay biến dạng, khuôn mặt không đều, đổ bóng lạ hoặc chuyển động phi thực tế. Đối với giọng nói, tông giọng hoặc từ ngữ có thể không tự nhiên. Đây là yếu tố giúp người dùng phát hiện và có giải pháp xử lý phù hợp. Với cuộc gọi từ những nơi tự xưng là cơ quan cảnh sát, tòa án, tổ chức từ thiện... người dùng có thể xác minh bằng cách gác máy, tìm kiếm tổ chức mà họ tuyên bố và gọi lại bằng số chính thức. Không bao giờ chia sẻ thông tin nhạy cảm với người lạ trực tuyến hoặc qua điện thoại. Người dùng cũng nên tránh gửi tiền, thẻ quà tặng, hoặc tiền số cho những người không được xác minh. Ngoài ra, có thể tham gia các lớp học về AI và những cách thức lừa đảo từ loại hình này để đề phòng. Bảo Lâm"
Mua TV 85 inch hay máy chiếu?,https://vnexpress.net/mua-tv-85-inch-hay-may-chieu-4823833.html,Tôi muốn mua thiết bị xem phim cho phòng khách nhưng lăn tăn giữa TV và máy chiếu vì giá tiền không chênh nhiều. (Vũ Hữu Chi),"Tính mua máy chiếu cho phòng khách kiêm sinh hoạt chung nhưng khi tham khảo giá TV gần đây tôi thấy cũng không cao hơn nhiều. Trước đó tôi định đầu tư một máy chiếu 4K khoảng 30 triệu, màn chiếu tốt vài triệu đồng. Tôi hơi lo lắng TV màn hình lớn quá khi có vấn đề khó sửa và liệu có dễ hỏng hơn TV cỡ nhỏ không? Xin hỏi mọi người nên theo phương án nào? Tôi chủ yếu xem phim nên không lo ngại về độ sáng khi sử dụng. Độc giả Vũ Hữu Chi"
Bốn dấu hiệu smartphone Android có thể bị hack,https://vnexpress.net/bon-dau-hieu-smartphone-android-co-the-bi-hack-4821983.html,"Người dùng cần chú ý những dấu hiệu cho thấy điện thoại Android có thể bị xâm nhập trái phép, như cạn pin nhanh chóng hoặc dữ liệu bất thường.","Các thiết bị Android giờ đây không khác nhiều so với một chiếc máy tính, có thể giúp người dùng làm nhiều việc nhanh chóng hơn. Dù vậy, chúng cũng trở thành mục tiêu của tin tặc, với cách thức tấn công thay đổi từng ngày. Do đó, việc nhận biết smartphone của mình có bị nhiễm mã độc hay không giúp người dùng chủ động xử lý để tránh tổn thất nặng nề hơn. Minh họa một chiếc smartphone bị tin tặc tấn công. Ảnh: Connectamobile Pin tụt nhanh bất thường Một trong những dấu hiệu phổ biến nhất của thiết bị Android bị xâm phạm là tình trạng hao pin bất thường. Nếu smartphone tụt pin nhanh hơn bình thường khi không sử dụng, khả năng cao máy nhiễm phần mềm độc hại chạy ngầm. Để kiểm tra, người dùng vào Cài đặt > Sử dụng pin > Pin, sau đó kiểm tra ứng dụng nào đang ""ngốn"" pin nhanh và bất thường để xóa chúng. Cuối cùng, có thể sử dụng ứng dụng diệt virus đáng tin cậy để quét phần mềm độc hại. Tất nhiên, việc pin tụt nhanh không hoàn toàn do mã độc. Một số trường hợp như lỗi phần cứng cũng có thể góp phần làm pin cạn kiệt. Xuất hiện ứng dụng lạ Nếu trên màn hình smartphone Android của người dùng xuất hiện ứng dụng họ chưa bao giờ cài đặt, máy có thể đã dính mã độc. Những phần mềm này có thể tiếp tục lây nhiễm và đánh cắp thông tin cá nhân, hoặc hiển thị quảng cáo trái phép. Để kiểm tra, vào Cài đặt > Ứng dụng và xem lại các phần mềm đã tải. Nếu thấy ứng dụng lạ, nên gỡ lập tức và quét lại bằng phần mềm diệt virus. ""Ngốn"" dữ liệu bất thường Thông thường, sử dụng các dịch vụ video trực tuyến độ nét cao hoặc tải xuống file lớn sẽ gây tiêu tốn nhiều dữ liệu. Nhưng nếu dữ liệu vẫn tăng đột biến, nhiều khả năng có phần mềm chạy ngầm gửi dữ liệu từ xa. Người dùng nên vào Cài đặt > Mạng và Internet > Kiểm tra mức sử dụng dữ liệu để xem ứng dụng lạ nào sử dụng dữ liệu cao bất thường và gỡ chúng lập tức. Thông báo lạ Một trong những dấu hiệu rõ ràng cho thấy smartphone đã nhiễm phần mềm độc hại là xuất hiện thông báo không mong muốn. Chúng thường là cửa sổ bật lên, cảnh báo máy bị nhiễm virus, hoặc thông báo trúng thưởng... và thúc giục ""cần hành động ngay"". Lúc này, các chuyên gia bảo mật khuyến nghị nên khôi phục cài đặt gốc cho máy để giải quyết triệt để vấn đề. Theo các chuyên gia, để tránh smartphone Android bị tấn công, người dùng cần ngăn chặn nguy cơ ngay từ đầu, bằng cách thường xuyên cập nhật lên phiên bản hệ điều hành mới, tải ứng dụng từ nguồn đáng tin cậy, tắt tính năng Cài đặt ứng dụng từ nguồn không xác định. Ngoài ra, cần sử dụng mật khẩu mạnh, không bấm vào các liên kết hoặc nội dung lạ để hạn chế nguy cơ bị nhiễm phần mềm độc hại. Bảo Lâm (theo MakeUseOf)"
Chọn MacBook Air hay Asus Vivobook S16 cho nhu cầu văn phòng?,https://vnexpress.net/chon-macbook-air-hay-asus-vivobook-s16-cho-nhu-cau-van-phong-4819651.html,"Tôi cần tìm máy dùng tốt Google Docs, Sheets, bộ Microsoft Office với thiết kế nhỏ gọn, màn hình lớn và pin lâu. (Vân Nguyễn)","Tôi đang lăn tăn hai model là MacBook Air 15 inch và Asus Vivobook S16 OLED. Thiết kế đều mỏng nhẹ, màn lớn nhưng không rõ thời lượng sử dụng pin thực tế ra sao. Tôi chưa dùng MacBook nhưng nghe mọi người nói dòng máy này dùng mượt mà nhưng không tốt cho các phần mềm Office. Xin hỏi các độc giả từng sử dụng cả hai về ưu, nhược điểm của các dòng máy này hoặc tương tự."
Sếp OpenAI chia sẻ 5 mẹo dùng ChatGPT,https://vnexpress.net/sep-openai-chia-se-5-meo-dung-chatgpt-hieu-qua-4818329.html,"Nick Turley, Giám đốc sản phẩm OpenAI, cho biết người dùng nên thử chế độ giọng nói hoặc kết hợp hình ảnh để nâng cao trải nghiệm với ChatGPT.","Trong podcast Hard Fork đầu tuần này, Nick Turley cho biết các mẹo không phải để ""tăng tốc độ như tên lửa"" khi sử dụng ChatGPT. Tuy nhiên, từ bản ChatGPT dùng mô hình ngôn ngữ lớn GPT-4o về sau được tích hợp các tính năng giúp người dùng rút ngắn thời gian sử dụng theo hướng hiệu quả hơn, thay vì chỉ nhập văn bản. Giao diện hỏi đáp của ChatGPT trên ứng dụng cho Android. Ảnh: Bảo Lâm Thử nghiệm chế độ giọng nói Tính năng mới của chatbot hỗ trợ 9 loại giọng nói giống con người, được phát triển với sự tham gia của các diễn viên lồng tiếng chuyên nghiệp, có thể thay đổi trong phần cài đặt. ""Đây là cách hoàn toàn khác để tương tác với ChatGPT"", Turley nói. ""Nó chưa từng tồn tại trên các phiên bản trước, mang lại trải nghiệm chưa từng có so với các công nghệ tương tự trước đây"". Hiện phiên bản ChatGPT miễn phí dùng giọng nói tiêu chuẩn. Trong khi đó, chế độ nâng cao với các cuộc trò chuyện tự nhiên hơn theo thời gian thực có trên bản thu phí Plus và Team. Yêu cầu ChatGPT ghi nhớ Nếu không thích lặp đi lặp lại thông tin, người dùng có thể yêu cầu ChatGPT ghi nhớ một số điều về bản thân và là dữ liệu để AI của OpenAI cải thiện phản hồi trong tương lai. ""Bạn không cần chờ đợi nó suy luận về bạn"", Turley nói. ""Bạn có thể chỉ cần nói cho nó những thứ bạn muốn nó ghi nhớ"". Turley bổ sung rằng người dùng có thể ""tạo ký ức"" cho ChatGPT bằng cách yêu cầu ghi nhớ về công việc, tình hình gia đình, sở thích, món ăn yêu thích... Bằng cách này, ""trí nhớ"" của AI ngày càng cải thiện. Nếu không cần, người dùng có thể tắt tính năng bằng câu lệnh, hoặc thậm chí yêu cầu AI quên chúng đi. Tạo GPT tùy chỉnh Theo Turley, người dùng cũng có thể cân nhắc tạo một phiên bản GPT tùy chỉnh của riêng mình. ""Mọi người làm điều này vì nhiều lý do"", ông nói. ""Nếu bạn cần một lời nhắc sử dụng lại nhiều lần, hãy tạo một GPT cho riêng mình"". Trên ChatGPT, người dùng có thể điều chỉnh để AI này tập trung vào nhiệm vụ cụ thể, từ học ngôn ngữ đến phân tích dữ liệu dựa trên hướng dẫn của người dùng thông qua tính năng GPT Builder. Bên cạnh đó, người dùng cũng có thể cấu hình GPT với các cài đặt bổ sung như phân tích dữ liệu nâng cao, thêm mô hình tạo ảnh Dall-E Image Generation. ""Nó rất dễ, chỉ mất vài giây"", Turley nói. Tải tập tin lên Turley đánh giá tính năng tải tập tin lên ChatGPT ít được biết đến nhưng trải nghiệm ""rất tuyệt vời"". Hiện có sẵn cho người dùng Plus và Enterprise, chức năng này cho phép người dùng tải lên bất kỳ tệp văn bản, tài liệu, bảng tính và bài thuyết trình nào. ChatGPT sau đó phân tích văn bản này và đưa ra bản tóm tắt hoặc phản hồi, trích xuất thông tin hoặc trích dẫn cụ thể, cũng như so sánh và đối chiếu hai tài liệu. Nó đặc biệt hữu ích nếu người dùng đang cần xem qua một bài viết dài hoặc dữ liệu cần xử lý ngay trong một tài liệu hàng chục trang. ""Nhiều người không biết tính năng này tồn tại"", ông nói. ""Nó thực sự, thực sự mạnh mẽ"". Kết hợp hình ảnh ""Tôi thấy có những người thích văn bản, và cũng có những người thích hình ảnh. Tuy nhiên, sự giao thoa giữa hai yếu tố ít xảy ra trên cùng một người dùng"", Turley nói. Đại diện OpenAI nói ông mong muốn có nhiều ""sự giao thoa"" hơn vì ChatGPT hỗ trợ cả hai. Bên cạnh văn bản, chatbot này cũng có thể hiểu và diễn giải hình ảnh. Hiện tại, trình tạo hình ảnh Dall-E của OpenAI cũng có sẵn trong ChatGPT, có thể tạo ảnh từ cuộc trò chuyện. Người dùng có thể kết hợp để tăng trải nghiệm sử dụng hoặc sáng tạo từ đó, chẳng hạn làm một tấm thiệp sinh nhật. ""Bạn có thể muốn sử dụng cả hai: một hình ảnh nhỏ kèm một bài thơ dễ thương"", ông nói thêm. Bảo Lâm"
Cách khắc phục gõ tin nhắn Zalo bị giật lag trên iPhone?,https://vnexpress.net/cach-khac-phuc-go-tin-nhan-zalo-bi-giat-lag-tren-iphone-4813055.html,"Sau khi nâng cấp iPhone 14 Pro lên iOS 18, tôi thấy gõ tin nhắn trong Zalo bị hiện tượng chữ nổi rất chậm như máy tính cấu hình yếu trước đây. (Hà Thu)","Khi gõ tin nhắn trong Zalo, nhiều lúc mất vài giây đoạn văn bản tôi vừa gõ mới hiện lên trong ô soạn thảo. Ngoài Zalo, các ứng dụng khác vẫn hoạt động bình thường, máy không chạy ứng dụng gì nặng và khởi động lại vẫn bị. Tình trạng này tôi thấy bắt đầu sau khi nâng iPhone 14 Pro đang sử dụng lên iOS 18. Xin hỏi có nhiều người bị giống tôi không và cách khắc phục như nào? Gợi ý cách khắc phục"
Chọn Mac mini 2024 hay Xiaomi Mini PC?,https://vnexpress.net/chon-mac-mini-2024-hay-xiaomi-mini-pc-4810646.html,"Tôi thích máy tính nhỏ gọn kiểu NUC, quen dùng Windows nhưng mức giá và cấu hình của Mac mini năm nay khá tốt. (Hùng Can)","Mac mini 2024 (trái) và Xiaomi Mini PC. Nhu cầu sử dụng của tôi đơn giản, chủ yếu lướt web, mạng xã hội và xử lý văn bản, email. Phần mềm đặc thù công việc có sẵn trên cả macOS và Windows nên không lo lắng, nhưng lần cuối dùng máy tính Mac đã cách đây 5-6 năm. Tôi tính mua Xiaomi Mini PC giá khoảng hơn 12 triệu đồng, nhưng thấy Mac mini mới ra mắt nên rất lăn tăn. Theo mọi người, tôi nên chọn máy nào?"
Lính cứu hỏa Canada: 'Cần ngưng sạc smartphone qua đêm',https://vnexpress.net/linh-cuu-hoa-canada-can-ngung-sac-smartphone-qua-dem-4809206.html,Sở Cứu hỏa Montreal khuyến cáo người dùng tránh sạc thiết bị dùng pin Li-ion qua đêm sau khi ghi nhận hàng chục vụ hỏa hoạn liên quan.,"Theo Montreal Gazette, ông Matthew Griffith, trưởng phòng phòng ngừa tai nạn của Sở Cứu hỏa Montreal, cho biết tính từ đầu năm đến hết tháng 9, cơ quan này đã ghi nhận 40 vụ cháy liên quan đến pin Li-ion. Lần gần nhất là giữa tháng 9, khi 15.000 kg pin bốc cháy tại cảng Montreal, khiến đội cứu hỏa xoay xở cả đêm mới có thể dập tắt, và hơn 100 người dân phải sơ tán. Trước 2020, con số chỉ dừng lại khoảng 7 vụ mỗi năm. Một mẫu smartphone sạc vào ban đêm. Ảnh: iQOO Griffith cho rằng pin Li-ion ngày càng phổ biến là nguyên nhân chính khiến số vụ hỏa hoạn tăng. Li-ion có trên mọi thiết bị điện tử, từ điện thoại thông minh, máy tính bảng đến xe máy và ôtô điện. ""Những đám cháy do pin này gây ra rất khó dập tắt"", Martin Guilbault, Giám đốc Sở Cứu hỏa Montreal, nói. ""Cách duy nhất là dội nước vào pin để làm mát và ngăn chặn phản ứng dây chuyền"". Ngoài nguy cơ hỏa hoạn tức thời, những sự cố cháy nổ pin Li-ion còn giải phóng chất ô nhiễm có hại như hydro florua và bụi mịn PM2.5, có thể xâm nhập vào phổi và máu. ""Tiếp xúc với nồng độ hydro florua rất cao có thể gây bỏng hóa chất, kích ứng mắt và khó thở"", Jill Baumgartner, giáo sư nghiên cứu dịch tễ học và sức khỏe nghề nghiệp tại Đại học McGill, cho biết. ""Tiếp xúc cấp tính với PM2.5 có thể gây nhiều tác động đến sức khỏe, từ kích ứng cổ họng, hen suyễn đến tăng nguy cơ đau tim và đột quỵ, nhất là ở trẻ em, người già, người có bệnh nền"". Theo Griffith, để hạn chế nguy cơ từ Li-ion, người dùng cần sử dụng bộ sạc phù hợp cho thiết bị, như bộ sạc kèm máy hoặc được sản xuất bởi thương hiệu uy tín, thay pin cũ nếu có dấu hiệu bị phồng, tránh mua pin giá rẻ, không rõ nguồn gốc. Người dùng nên sạc khi đang thức, đặt trên mặt phẳng cứng thay vì trên giường hoặc sofa, lắp hệ thống báo khói để đề phòng cháy nổ. ""Tôi biết nhiều người sạc điện thoại qua đêm, nhưng chúng tôi khuyên nên hình thành thói quen sạc lúc còn thức. Nếu xảy ra sự cố, vấn đề có thể được giải quyết nhanh chóng"", Griffith khuyến cáo. Theo WSJ, pin Li-ion hiện có mặt trong mọi nhà, đa số người dùng đều sở hữu ít nhất một thiết bị chứa Li-ion. Chúng an toàn nếu sử dụng đúng cách. Tuy nhiên, trong trường hợp lỗi, hỏng, dùng thời gian quá dài hoặc sử dụng sai cách, nguồn năng lượng khổng lồ bên trong sẽ được giải phóng một cách mất kiểm soát, khiến bất kỳ ai cũng có thể trở thành nạn nhân. ""Mỗi ngày, chúng tôi ghi nhận một vụ cháy nổ do pin Li-ion gây ra, tăng 60% so với năm trước đó. Đây là mối nguy hiểm thực sự đang nổi lên"", Dom Ellis, đội phó đội cứu hỏa London, nói với Telegraph năm ngoái. Bảo Lâm"
"Ảnh gửi qua Zalo, Messenger thay đổi dung lượng thế nào?",https://vnexpress.net/anh-gui-qua-zalo-messenger-thay-doi-dung-luong-the-nao-4808628.html,"Cùng một ảnh 4.240 x 2.832 pixel dung lượng 7 MB, ứng dụng Telegram, Lotus Chat có tùy chọn gửi file gốc, còn Zalo, Messenger đều nén khiến chất lượng giảm mạnh.",Quang Đồng - Lưu Quý
"Lý do nên tránh đăng nhập bằng tài khoản Google, Facebook",https://vnexpress.net/ly-do-nen-tranh-dang-nhap-bang-tai-khoan-google-facebook-4808145.html,"Việc dùng tài khoản Google, Facebook, Apple để đăng nhập website, ứng dụng bên thứ ba mang lại sự tiện lợi nhưng cũng đi kèm rủi ro.","Trên hầu hết ứng dụng hoặc nền tảng trực tuyến, bên cạnh việc đăng ký thông thường, người dùng được cung cấp thêm tùy chọn đăng nhập bằng tài khoản sẵn có của Facebook, Google, Apple, X... Cách này mang đến sự tiện lợi, tiết kiệm thời gian vì không cần điền thông tin tạo tài khoản, ghi nhớ tên và mật khẩu riêng. Người dùng thực tế đang sử dụng tính năng Đăng nhập một lần (SSO), tự cấp cho nền tảng hoặc ứng dụng quyền xác minh danh tính cũng như chia sẻ thông tin cụ thể với trang web hoặc ứng dụng đang truy cập. Một số nền tảng thường được sử dụng để đăng nhập nhanh. Ảnh: Ultimate Member Phụ thuộc đăng nhập Theo cây viết công nghệ Yash Patel của Make Tech Easier, vào tháng 12/2020, ông không thể viết các bài báo do sử dụng Canva. Nguyên nhân là ông dùng tài khoản Google để đăng nhập vào nền tảng. Khi Google gặp sự cố và ngừng hoạt động, ông phải tạo lại mọi thứ từ đầu, không thể truy xuất những bài viết nháp đã lưu ở tài khoản cũ. ""Đó là chất xúc tác khiến tôi quyết định ngừng sử dụng dịch vụ đăng nhập qua Google, Facebook"", Patel viết. ""Sự cố sập toàn cầu nên các nền tảng không phải là chuyện hiếm gặp và những gián đoạn này có thể ảnh hưởng đến bạn"". Chia sẻ dữ liệu Khi dùng tài khoản Google, Facebook để đăng nhập dịch vụ trực tuyến khác, về cơ bản người dùng cấp cho các nền tảng quyền truy cập và chia sẻ dữ liệu cá nhân. Dữ liệu đó có thể gồm nhiều thông tin như tên, địa chỉ email, ảnh và danh sách bạn bè. Đôi khi, họ thao tác quá nhanh và không để ý các điều khoản. Ví dụ, nếu một website du lịch được kết nối bằng tài khoản Facebook, nền tảng của Meta có thể trích xuất danh sách bạn bè của người đó và đề xuất quảng cáo. Một nền tảng thương mại điện tử cũng có thể truy xuất thông tin ví Google Wallet để hợp lý hóa quy trình thanh toán. Độ bảo mật Nếu thường xuyên sử dụng Google, Facebook để đăng nhập, người dùng có thể gặp rắc rối nếu những tài khoản này rơi vào tay hacker. Lúc đó, kẻ gian có thể dùng tài khoản để vào các dịch vụ khác đã được liên kết trước đó và lấy cắp dữ liệu quan trọng. ""Việc lấy một tài khoản Google hoặc Facebook để đăng nhập nhiều nền tảng cũng tương tự bỏ trứng vào một giỏ và người dùng có nguy cơ mất quyền truy cập vào tất cả dịch vụ được kết nối"", trang How-to-Geek khuyến cáo. ""Đây là ác mộng về bảo mật"". Có thể bị Google, Facebook lập hồ sơ dữ liệu Google, Facebook... có thể thu thập dữ liệu người dùng từ website và ứng dụng bên thứ ba khi người đó truy cập bằng dịch vụ đăng nhập của họ. Với công nghệ theo dõi phức tạp, họ có thể nắm trong tay thông tin về hành vi trực tuyến, tương tác, các trang truy cập thường xuyên, nội dung xem nhiều nhất, vị trí... và tổng hợp để tạo hồ sơ chi tiết về sở thích, nhân khẩu học, sở thích và thói quen mua sắm để nhắm đến mục tiêu quảng cáo. Theo Wired, Google được cho là kiểm soát những gì người dùng thấy trong kết quả họ tìm kiếm, trong khi Facebook theo dõi thói quen duyệt web của người dùng, dù cả Google lẫn Meta từng phủ nhận thông tin này. Không thể cá nhân hóa Việc đăng nhập bằng tài khoản Google, Facebook cũng đồng nghĩa các nền tảng bên thứ ba sẽ lấy thông tin mặc định có sẵn trên tài khoản. Điều này có thể gây khó chịu cho những người muốn cá nhân hóa danh tính trực tuyến. Do vậy, nếu muốn tùy chỉnh nhiều hơn, hãy cân nhắc tạo tài khoản và mật khẩu bằng cách truyền thống. Theo How-to-Geek, người dùng không nên ""tự làm suy yếu sự an toàn của chính mình"" bằng cách sử dụng SSO. Thay vào đó, họ có thể sử dụng trình quản lý mật khẩu. Ngay cả khi trình quản lý mật khẩu bị bẻ khóa, người dùng vẫn có thể tự đặt lại tài khoản của mình vì họ vẫn có quyền kiểm soát. Bảo Lâm"
